206. 反转链表15	 两个递归参数
160. 相交链表8	 跑完再跑一遍
补充题4. 手撕快速排序	7	getIndex是个递归方法，返回排好的那个值的index
146. LRU缓存机制	7	双向链表+hashmap
21. 合并两个有序链表	7	每次返回头
215. 数组中的第K个最大元素	7	跟快排差不多，或者使用priorityqueue构造大顶堆
88. 合并两个有序数组	6	三指针，从屁股开始
141. 环形链表	5	快指针速度为慢指针的两倍，直到二者相遇。将其中一个指针重新挪到起点。俩指针以速度1继续前行，相遇点为所求。
92. 反转链表 II	5	和翻转没区别
151. 翻转字符串里的单词	5	先翻转每个单词，再翻转所有
2. 两数相加	5	双指针
3. 无重复字符的最长子串	5	用map或者int[128]记录最近出现
155. 最小栈	4	另外维护一个栈，存放从他到栈底的最小元素
144. 二叉树的前序遍历	4		
136. 只出现一次的数字	4	
34. 在排序数组中查找元素的第一个和最后一个位置	4	二分法
20. 有效的括号	4	往stack里面push、poll
148. 排序链表	4	如果不让用其他空间，就考虑归并排序，最后合并两个排序链表
24. 两两交换链表中的节点	4	参数中放两个节点
415. 字符串相加	4	字符串相乘用到了它
142. 环形链表 II	3	如果不让使用额外的空间，用快慢指针。然后减速
46. 全排列	3	backtracking
剑指 Offer 10- II. 青蛙跳台阶问题	3	dp
剑指 Offer 22. 链表中倒数第k个节点	3	快慢指针
150. 逆波兰表达式求值	3	https://leetcode-cn.com/problems/evaluate-reverse-polish-notation
94. 二叉树的中序遍历	3	
128. 最长连续序列	3	https://leetcode-cn.com/problems/longest-consecutive-sequence
补充题8. 计算数组的小和	3	https://mp.weixin.qq.com/s/0ih4W6nawzFUPSj3GOnYTQ
121. 买卖股票的最佳时机	3	
补充题5. 手撕归并排序	3	
69. x 的平方根	3	
103. 二叉树的锯齿形层次遍历	3	
102. 二叉树的层序遍历	3	
剑指 Offer 51. 数组中的逆序对	3	https://leetcode-cn.com/problems/shu-zu-zhong-de-ni-xu-dui-lcof
剑指 Offer 21. 调整数组顺序使奇数位于偶数前面	3	https://leetcode-cn.com/problems/diao-zheng-shu-zu-shun-xu-shi-qi-shu-wei-yu-ou-shu-qian-mian-lcof
76. 最小覆盖子串	3	https://leetcode-cn.com/problems/minimum-window-substring
15. 三数之和	2	
145. 二叉树的后序遍历	2	
543. 二叉树的直径	2	https://leetcode-cn.com/problems/diameter-of-binary-tree
845. 数组中的最长山脉	2	https://leetcode-cn.com/problems/longest-mountain-in-array
剑指 Offer 18. 删除链表的节点	2	
1143. 最长公共子序列	2	
剑指 Offer 19. 正则表达式匹配	2	https://leetcode-cn.com/problems/zheng-ze-biao-da-shi-pi-pei-lcof
509. 斐波那契数	2	
226. 翻转二叉树	2	https://leetcode-cn.com/problems/invert-binary-tree
93. 复原IP地址	2	https://leetcode-cn.com/problems/restore-ip-addresses
1047. 删除字符串中的所有相邻重复项	2	用栈的思想，往栈里面push字符
43. 字符串相乘	2	
113. 路径总和 II	2	考虑一个分支
718. 最长重复子数组	2	dp[i][j] 表示 A[i:] 和 B[j:] 的最长公共前缀
剑指 Offer 55 - I. 二叉树的深度	2	https://leetcode-cn.com/problems/er-cha-shu-de-shen-du-lcof
78. 子集	2	backtracking排列组合
498. 对角线遍历	2	https://leetcode-cn.com/problems/diagonal-traverse
122. 买卖股票的最佳时机 II	2	
剑指 Offer 36. 二叉搜索树与双向链表	2	https://leetcode-cn.com/problems/er-cha-sou-suo-shu-yu-shuang-xiang-lian-biao-lcof
200. 岛屿数量	2	https://leetcode-cn.com/problems/number-of-islands
33. 搜索旋转排序数组	2	https://leetcode-cn.com/problems/search-in-rotated-sorted-array
54. 螺旋矩阵	2	https://leetcode-cn.com/problems/spiral-matrix
225. 用队列实现栈	2	https://leetcode-cn.com/problems/implement-stack-using-queues
23. 合并K个排序链表	2	https://leetcode-cn.com/problems/merge-k-sorted-lists
104. 二叉树的最大深度	2	https://leetcode-cn.com/problems/maximum-depth-of-binary-tree
318. 最大单词长度乘积	1	https://leetcode-cn.com/problems/maximum-product-of-word-lengths
321. 拼接最大数	1	https://leetcode-cn.com/problems/create-maximum-number
面试题 17.01. 不用加号的加法	1	https://leetcode-cn.com/problems/add-without-plus-lcci
468. 验证IP地址	1	https://leetcode-cn.com/problems/validate-ip-address
16. 最接近的三数之和	1	https://leetcode-cn.com/problems/3sum-closest
239. 滑动窗口最大值	1	https://leetcode-cn.com/problems/sliding-window-maximum
470. 用 Rand7() 实现 Rand10()	1	https://leetcode-cn.com/problems/implement-rand10-using-rand7
8. 字符串转换整数 (atoi)	1	https://leetcode-cn.com/problems/string-to-integer-atoi
剑指 Offer 24. 反转链表	1	https://leetcode-cn.com/problems/fan-zhuan-lian-biao-lcof
67. 二进制求和	1	https://leetcode-cn.com/problems/add-binary
450. 删除二叉搜索树中的节点	1	https://leetcode-cn.com/problems/delete-node-in-a-bst
322. 零钱兑换	1	https://leetcode-cn.com/problems/coin-change
220. 存在重复元素 III	1	https://leetcode-cn.com/problems/contains-duplicate-iii
剑指 Offer 04. 二维数组中的查找	1	https://leetcode-cn.com/problems/er-wei-shu-zu-zhong-de-cha-zhao-lcof
48. 旋转图像	1	https://leetcode-cn.com/problems/rotate-image
337. 打家劫舍 III	1	https://leetcode-cn.com/problems/house-robber-iii
191. 位1的个数	1	https://leetcode-cn.com/problems/number-of-1-bits
22. 括号生成	1	https://leetcode-cn.com/problems/generate-parentheses
5. 最长回文子串	1	https://leetcode-cn.com/problems/longest-palindromic-substring
224. 基本计算器	1	https://leetcode-cn.com/problems/basic-calculator
701. 二叉搜索树中的插入操作	1	https://leetcode-cn.com/problems/insert-into-a-binary-search-tree
111. 二叉树的最小深度	1	https://leetcode-cn.com/problems/minimum-depth-of-binary-tree
110. 平衡二叉树	1	https://leetcode-cn.com/problems/balanced-binary-tree
210. 课程表 II	1	https://leetcode-cn.com/problems/course-schedule-ii
480. 滑动窗口中位数	1	https://leetcode-cn.com/problems/sliding-window-median
137. 只出现一次的数字 II	1	https://leetcode-cn.com/problems/single-number-ii
剑指 Offer 41. 数据流中的中位数	1	https://leetcode-cn.com/problems/shu-ju-liu-zhong-de-zhong-wei-shu-lcof
42. 接雨水	1	https://leetcode-cn.com/problems/trapping-rain-water
82. 删除排序链表中的重复元素 II	1	https://leetcode-cn.com/problems/remove-duplicates-from-sorted-list-ii
230. 二叉搜索树中第K小的元素	1	https://leetcode-cn.com/problems/kth-smallest-element-in-a-bst
剑指 Offer 10- I. 斐波那契数列	1	https://leetcode-cn.com/problems/fei-bo-na-qi-shu-lie-lcof
169. 多数元素	1	https://leetcode-cn.com/problems/majority-element
59. 螺旋矩阵 II	1	https://leetcode-cn.com/problems/spiral-matrix-ii
74. 搜索二维矩阵	1	https://leetcode-cn.com/problems/search-a-2d-matrix
